case_number,published_date,report_number,category,product,brand,name,model,production_dates,ec_type_approval,company_recall_code,risk_type,danger,risk_description,legal_provisions,measures,measures_economic_operators,description,notifying_country,country_of_origin,risk_level,reference_url,recall_website
A12/0019/18,,,Motor vehicles,Passenger car,Mazda,Mazda 6,"Type-approval numbers: e1*2007/46*1001*01, e1*2001/116*0448*14, e1*2001/116*0448*19; type: GJ, GH",The vehicles concerned were produced between 31 July 2012 and 18 November 2014.,,,Injuries,Water infiltration may affect the functionality of the parking brake. Reduced holding power of the parking brake could lead to an accident.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/295790,
A12/0021/18,,,Motor vehicles,Passenger car,Seat,Mii,,Manufactured between 18/05/2017 and 12/10/2017.,,,Injuries,"The towing eye supplied with the car may have defective welding. If the towing eye is used, it may break with the risk that the towing cable hits people.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 22/12/2017,,Passenger car,Spain,Spain,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/295878,
A12/1878/17,,,Motor vehicles,Passenger car,Opel,Crossland X,EC-type approval numbers:  e4*2007/46*1194*02 and e4*2007/46*1194*03,Production year:  2018,,,Injuries,Oil entry in the inlet circuit of the engine can occur caused by the pistons. This could result in engine failure which could lead to an accident.,,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Portugal,Spain,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/294985,
A12/1824/17,,,Motor vehicles,Passenger car,Mercedes-Benz,G class,Type approval number: e1*96/79*0064*36-38Type: 463,The vehicles affected were manufactured between 9/2015 and 11/2017.,,,Injuries,The software of the Electronic Stability Programme (ESP) could malfunction. The braking and/or stopping distance could be lengthened as a result. This could increase the risk of an accident.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/292034,
A12/1850/17,,,Motor vehicles,Passenger car,VW,Arteon,Type-approval number: e1*2007/46*1725* Type: 3H,The vehicles affected were produced between 24/8/2017 and 31/8/2017.,,,Injuries,"The adhesive bond between the upper and lower parts of the rear spoiler may be incorrect. The upper part of the spoiler could consequently detach whilst the vehicle is in motion, endangering following traffic.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/292230,
A12/1782/17,,,Motor vehicles,Passenger car,Nissan,"Patrol, X-Trail","Type-approval numbers: e1*98/14*0166*, e6*95/54*0051* Types: T30, Y61",The vehicles affected were produced between 07/06/2000 and 31/08/2001.,,,Injuries,"There is a defect in the gas generator of the passenger airbag. In the event of deployment of the passenger airbag, metal fragments can be released which can cause injury to the occupants.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/291339,
A12/1785/17,,,Motor vehicles,Passenger car,VW,"Arteon, Golf, Passat",e1*2007/46*1725*## Type: 3H Type-approval number: e1*2007/46*0623*## Type: AUType-approval number: e1*2007/46*0627*## Type: AUVType-approval number: e1*2001/116*0307*## Type: 3C,The vehicles affected were produced between 21/08/2017 and 14/09/2017.,,,Injuries,"The rear wheel-bearing housing may fracture. This can impair the vehicle’s road-holding ability, leading to the risk of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/291387,
A12/1798/17,,,Motor vehicles,Passenger car,Citroën,C4 Picasso,"e2*2007/46*0356*12, e2*2007/46*0356*13, e2*2007/46*0356*14",Manufactured between 1 September 2016 and 6 April 2017,,,Injuries,The outer skin of the bonnet may not be properly glued to the bonnet lining. This could lead to the loss of the outer skin of the bonnet causing an accident.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 23/11/2017,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/291451,
A12/1791/17,,,Motor vehicles,Passenger car,Toyota,Avensis and RAV4,Model Name (Model Code):  Avensis (WWT271) and RAV4 (WWA42); EC-type approval numbers:  Avensis (e11*2001/116*0331) and RAV4 (e6*2001/116*0105).,Production year:  2016. The subject vehicles are equipped with a 2.0 litre turbocharged diesel engine.,,,Environment,"There is a possibility that the bolts on the exhaust-side of the turbocharger assembly may not have been correctly tightened due to defective tightening equipment. The bolts could loosen over time, causing insufficient sealing of the turbocharger and could allow exhaust gas leakage from the turbocharger.",,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Portugal,United Kingdom,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/292015,
A12/1800/17,,,Motor vehicles,Passenger car,Toyota,RAV4,Model Code: WWA42EC-type approval number:  e6*2001/116*0105.,Manufactured from 12 June 2015 to 5 April 2017,,,Injuries,"An electrostatic charge may be created in the fuel filter element and discharged on the fuel connector of the low pressure line. Over time, this could lead to fuel leaking through the fuel connector. If fuel leaks onto the road, it may endanger other vehicles.",,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Portugal,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/292019,
A12/1722/17,,,Motor vehicles,Passenger car,Subaru,"Forester, Impreza, Legacy, Outback","Type-approval numbers: e1*2007/46*0079*00-03, e13*2007/46*1074*00-03, e13*2001/116*0982*00-02, e1*2001/116*0485*01 – 04, e1*2001/116*0438*00-10; Types: SH, SHS, G3, BM/BR, BM/BRS",Production years concerned: Legacy/Outback: 2010 – 2012; Forester: 2009 – 2010; Impreza/WRX STi: 2008 – 2014.,,,Injuries,null A faulty relay could cause the secondary air-injection pump to malfunction and overheat. This could lead to a fire.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/289901,
A12/1706/17,,,Motor vehicles,Passenger car,Citroën,C-Zero,"e2*2007/46*0068*00, e2*2007/46*0068*01, e2*2007/46*0068*02, e2*2007/46*0068*03, e2*2007/46*0068*04, e2*2007/46*0068*05, e2*2007/46*0157*00",Manufactured between 11/10/2010 and 9/2/2017,,,Injuries,null A problem with an internal component of the passenger airbag deployment module could prevent the passenger airbag from being deployed in the event of a crash.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 13/11/2017,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/289914,
A12/1708/17,,,Motor vehicles,Passenger car,Peugeot,iON,"e2*2007/46*0069*00, e2*2007/46*0069*01, e2*2007/46*0069*02, e2*2007/46*0069*03, e2*2007/46*0069*04, e2*2007/46*0069*05, e2*2007/46*0158*00,",Manufactured between 11/10/2010 and 9/5/2017,,,Injuries,null A problem with an internal component of the passenger airbag deployment module could prevent the passenger airbag from being deployed in the event of a crash.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 13/11/2017,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/289923,
A12/1725/17,,,Motor vehicles,Passenger car,Renault,Twingo,e2*2007/46*0457*08 et e2*2007/46*0457*09,The vehicles concerned were produced between 24 March 2017 and 14 June 2017.,,,Injuries,null The durability of the front left steering knuckle may be insufficient. The knuckle could consequently deteriorate affecting the steering of the vehicle.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,France,Slovenia,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/289997,
A12/1726/17,,,Motor vehicles,Passenger car,Peugeot,208,"e2*2007/46*0070*38, e2*2007/46*0071*13",Manufactured between 8 June 2017 and 9 June 2017,,,Injuries,"null The fixing screws of the wheel axles on the rear cross member may not be tightened correctly. As a result, they could loosen leading to a loss of vehicle control while driving.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 17/11/2017,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/290019,
A12/1727/17,,,Motor vehicles,Passenger car,Citroën,DS3,E2*2007/46*0003*48,Manufactured between 8 June 2017 and 9 June 2017,,,Injuries,"null The fixing screws of the wheel axles on the rear cross member may not be tightened correctly. As a result, they could loosen leading to a loss of vehicle control while driving.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 17/11/2017,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/290038,
A12/1733/17,,,Motor vehicles,Passenger car,Mercedes-Benz,"A-Class, B-Class, C-Class, E-Class, CLA, GLA, GLC, GLK","Type approval number: e1*2007/46*1007, e1*2007/46*0928, e1*2007/46*0751, e1*2001/116*0470, e1*2007/46*1163, e1*2007/46*1207, e1*2001/116*0431, e1*2001/116*0457, e1*2001/116*0480, e1*2001/116*0464.....",The vehicles in question were manufactured between 11/2011 and 07/2017.,,,Injuries,"null The steering column is not sufficiently earthed. As a result, in the event of an electrostatic discharge, the driver's airbag may be triggered when not required. This could cause an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/290130,
A12/1657/17,,,Motor vehicles,Passenger car,Jeep,Compass,Individual type approval; Type: MP,The vehicles concerned were manufactured between 17 October 2016 and 28 April 2017,,,Electric shock,"null The User’s Guide contains incorrect information regarding the jump start procedure, depicting the battery terminals with reversed polarity in the battery terminal graphic. This could lead to an electric shock.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,United States,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/287567,
A12/1670/17,,,Motor vehicles,Passenger car,Peugeot,208,"e2*2007/46*0070*38, e2*2007/46*0070*39, e2*2007/46*0071*13",Manufactured between 21/07/2017 and 21/09/2017,,,Injuries,"null The front axle may not have been assembled with the correct tightening torques. As result, parts of the front axle could become loose leading to impaired steering capacity of the vehicle.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 02/11/2017,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/287705,
A12/1671/17,,,Motor vehicles,Passenger car,Citroën,DS3,"e2*2007/46*0003*48, e2*2007/46*0003*50",Manufactured between 21/7/2017 and 20/9/2017,,,Injuries,"null A number of points on the front suspension may not be correctly tightened. There is a risk of loosening over time, which could lead to a degradation in the control of the vehicle. An accident could result.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 02/11/2017,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/287712,
A12/1655/17,,,Motor vehicles,Passenger car,VW,T5,"Type-approval numbers: e1*2001/116*0220*, e1*2001/116*0218* Type: 7HC, 7HM",The vehicles affected were produced between 18/11/2005 and 06/12/2005.,,,Injuries,"null In gas-powered T5 vehicles, undetected corrosion in the gas tanks persisting over a long period could affect the thickness of the wall of the gas tank. Insufficient residual wall thickness may cause the gas tank to burst.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/287820,
A12/1675/17,,,Motor vehicles,Passenger car,Audi,"A3, Q2",Type-approval number: e1 * 2007/46 * 0607 * ... ; type: 8V; type-approval number: e1 * 2007/46 * 1552*...; type: GA,Vehicles produced during August 2017 are affected.,,,Injuries,null The fatigue strength of the rear axle stub may be insufficient. This could result in failure of the rear axle stub with consequent loss of control of the vehicle.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/288406,
A12/1679/17,,,Motor vehicles,Passenger car,Toyota,C-HR,"- Model Name // Model Code:  C-HR (excluding hybrid models) // NGX10, NGX50, ZGX10;- EC-type approval number:  e11*2007/46*3641.",Production years: 2017 - 2018.,,,Injuries,null A fault with the skid control unit may result in an inability to release the parking brake or prevent the parking brake from being applied.,,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Portugal,Türkiye,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/288689,
A12/1680/17,,,Motor vehicles,Passenger car,Toyota,Prius PHV,Model code: ZVW35; EC-type approval number:  e11*2007/46*0015.,Production years:  2011 - 2015.,,,Injuries,null The electric vehicle fuse may malfunction causing loss of motive power. Loss of motive power while driving could lead to a road accident.,,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Portugal,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/288692,
A12/1682/17,,,Motor vehicles,Passenger car,Nissan,Qashqai,Type-approval number: e11*2007/116*0963 Type: J11,The vehicles concerned were produced between 12 June 2017 and 28 June 2017.,,,Injuries,null The direction indicator lamp on the wing mirror may not work if the rear window defrosting and defogging system is switched on. This may pose a danger to other road users.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,United Kingdom,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/288810,
A12/1617/17,,,Motor vehicles,Passenger car,Lancia,Flavia,Type-approval: e11*2001/116*0143*07; Type: JS,The vehicles concerned were manufactured between August 2010 and February 2014,,,Injuries,null A malfunction of the ORC (occupant restraint control) module may result in the airbag and seat belt pretensioner not deploying properly in the event of an accident.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,United States,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/287361,
A12/1639/17,,,Motor vehicles,Passenger car,Audi,Q3,Type-approval number: e1 * 2007/46 * 0591 * ...; Type: 8U S,The vehicles affected were produced from June 2014 to November 2016.,,,Injuries,"null When emergency braking is actuated using the EPB (electro-mechanical parking brake), the braking lights are not activated. Following traffic is not informed of the emergency braking operation and the resulting deceleration of the vehicle which could lead to an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/287772,
A12/1628/17,,,Motor vehicles,Passenger car,Land Rover,Range Rover and Range Rover Sport,Type Approval Numbers: E11*2007/46*0649 (Range Rover) and E11*2007/46*0909 (Range Rover Sport); Model Year 2017,Specific vehicles built between 04/09/2016 and 17/08/2017.,,,Injuries,null The TFT Instrument Cluster (digital speedometer) screen can go blank and recover after a period of time which could distract the driver and increases the risk of an accident.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,United Kingdom,United Kingdom,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/287826,
A12/1651/17,,,Motor vehicles,Passenger car,Jaguar,"XF, XJ, XE and F-PACE","Type Approval Numbers: XF - E11*2001/116*0323, XJ - E11*2007/46*0089, XE - E11*2007/46*2150, F-PACE - E11*2007/46*3324.",Specific vehicles built between 01/09/2016 and 17/08/2017.,,,Injuries,null The TFT Instrument Cluster (digital speedometer) screen can go blank and reset intermittently. This may distract the driver and increase the risk of an accident.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,United Kingdom,United Kingdom,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/288288,
A12/1562/17,,,Motor vehicles,Passenger car,Tesla,"Model X , Model S",Type-approval numbers: e4*2007/46*0667*12 – e4*2007/46*0667*17; Type: 002; 2016 and 2017 model years,The vehicles affected were produced between 28/10/2016 and 1/9/2017 and have flat-folding seats in the second row.,,,Injuries,"null The cable controlling the adjustment mechanisms for the left-hand seat in the second row could be badly-adjusted. In the event of a crash, this could lead to the backrest moving forwards, increasing the risk of injury for the occupant of the seat.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,United States,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/286550,
A12/1563/17,,,Motor vehicles,Passenger car,Mitsubishi,i-MiEV,,Model years 2010 - 2013,,,Injuries,"null In the event of deployment of the passenger side airbag, the inflator might release metal fragments which could injure the passenger.",,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Portugal,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/286664,
A12/1564/17,,,Motor vehicles,Passenger car,Mitsubishi,ASX and Pajero Sport,"ASX (GA0W); Model year: 2011 – 2015, Pajero Sport (KH0W/KG0W); Model year: 2009 – 2014",ASX: Production period: from April 2010 to September 2014 Pajero Sport: Production period: from March 2008 to September 2015,,,Injuries,null The end cap of the gas springs for the rear door can come off. The end cap can hit the user and/or the rear door can fall down suddenly resulting in injury to the user.,,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Portugal,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/286672,
A12/1565/17,,,Motor vehicles,Passenger car,Mitsubishi,ASX,GA0W,Production period:  from April 2010 to September 2014,,,Injuries,"null The inside of the front wiper motor may corrode due to water ingress. This could lead to the wiper motor stopping to work. If the wiper motor stops working whilst driving, an accident could result.",,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Portugal,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/286684,
A12/1551/17,,,Motor vehicles,Passenger car,Honda,Accord,"Types: CR2, CR3, CT1, CT2",The vehicles concerned were manufactured between 2013 and 2016.,,,Fire,"null The battery sensor’s plastic housing may not be resistant to the penetration of moisture.  Any penetrating moisture may cause a short circuit, leading to a fire.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 06/07/2017,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/281907,
A12/1518/17,,,Motor vehicles,Passenger car,Renault,Clio,e2*2001/116*32745 - 82,Vehicles manufactured from 9 May 2012 to 11 July 2017 are affected.,,,Injuries,"null The central pivot pin of the back structure of the rear bench-seat does not have sufficient mechanical strength. In the event of a violent front impact to the vehicle, heavy items of luggage in the boot could consequently be projected into the cabin causing injuries to the occupants.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 07/11/2017,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/284853,
A12/1519/17,,,Motor vehicles,Passenger car,Mercedes-Benz,"GLE, GLS","EC type approvals: e1*2007/46*0598*19-20, e1*2007/46*0826*09 Types: 166, 166 AMG",The vehicles in question were manufactured between May 2016 and August 2016.,,,Injuries,"null There may be superfluous insulation material in the lower area of the windscreen which could damage the adhesion of the windscreen. As a result, in the event of a frontal collision, the passenger airbag would not be supported by the windscreen as intended, undermining the performance of the airbag and increasing the risk of injury for the passenger.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/284973,
A12/1522/17,,,Motor vehicles,Passenger car,Citroën,C4 Aircross,"e2*2007/46*0117*01, e2*2007/46*0117*02, e2*2007/46*0117*03, e2*2007/46*0117*04",Manufactured from 25 November 2011 to 16 September 2014.,,,Injuries,null Water can enter the vent mechanism for the front windscreen-wiper motor. This could result in the windscreen-wiper motor becoming completely blocked because of internal corrosion. Failure of the windscreen-wipers whilst driving in rain would lead to reduced visibility for the driver.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 19/10/2017,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/285390,
A12/1523/17,,,Motor vehicles,Passenger car,Citroën,C4 Aircross,"e2*2007/46*0117*01, e2*2007/46*0117*02, e2*2007/46*0117*03, e2*2007/46*0117*04, e2*2007/46*0117*05 e2*2007/46*0117*06",Manufactured from 25/11/2011 to 16/05/2016,,,Injuries,"null Due to corrosion, the dampers of the rear door could break. This could result in the rear door failing to stay in the open position, leading to injuries to the user.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 19/10/2017,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/285394,
A12/1524/17,,,Motor vehicles,Passenger car,Peugeot,4008,"e2*2007/46*0115*01, e2*2007/46*0115*02, e2*2007/46*0115*03, e2*2007/46*0115*04",Manufactured between 24 November 2011 and 12 September 2014,,,Injuries,null Water can enter the vent mechanism for the front windscreen-wiper motor. This could result in the windscreen-wiper motor becoming completely blocked because of internal corrosion. Failure of the windscreen-wipers whilst driving in rain would lead to reduced visibility for the driver.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 19/10/2017,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/285419,
A12/1525/17,,,Motor vehicles,Passenger car,Peugeot,4008,"e2*2007/46*0115*01, e2*2007/46*0115*02, e2*2007/46*0115*03, e2*2007/46*0115*04, e2*2007/46*0115*05, e2*2007/46*0115*06",Manufactured from 24/11/2011 to 16/05/2016,,,Injuries,"null Due to corrosion, the dampers of the rear door could break. This could result in the rear door failing to stay in the open position, leading to injuries to the user.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 19/10/2017,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/285437,
A12/1485/17,,,Motor vehicles,Passenger car,Fiat,Freemont,Type-approval number: e11*2001/116*0145*3304Type: JC,The notification concerns vehicles manufactured between 14.10.2010 and 20.04.2015.,,,Injuries,"null Incorrectly installed steering-wheel wiring may chafe and cause a short-circuit. As a consequence, the driver air bag may deploy while driving causing a road accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,United States,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/284171,
A12/1497/17,,,Motor vehicles,Passenger car,"Toyota, Lexus","Landcruiser, Verso-S, Lexus IS","EC type-approvals: e6*95/54*0055, e6*2001/116*0112, e11*2007/46*0020, e11*98/14*0110; types: J10, J20(a), XP12(a), XE1",The vehicles concerned were produced between 7 February 2003 and 27 September 2016.,,,Injuries,"null In the event of deployment, the driver and/or passenger airbags may not function as intended. There is consequently an increased risk of injury in the event of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/284478,
A12/1498/17,,,Motor vehicles,Passenger car,Mercedes-Benz,S-Class,EC type-approval: e1*2001/116*0335*33 to 36; Type: 221,The vehicles concerned were produced between January 2017 and May 2017.,,,Injuries,"null In the event of an accident involving the deployment of the driver airbag, the airbag might fail to open as intended, thus increasing the risk of injury to the driver.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/284490,
A12/1443/17,,,Motor vehicles,Passenger car,Dodge,"Durango, RAM",,The vehicles in question were produced between March 2008 and February 2010.,,,Injuries,"null In the event of deployment of the driver's airbag, a defect with the inflator can result in uncontrolled unfolding of the airbag and the release of metal fragments, causing injury to the occupants.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 08/09/2017,,Passenger car,Germany,United States,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/282060,
A12/1451/17,,,Motor vehicles,Passenger car,Nissan,"Navara, Almera, X-Trail, Terrano, Tino, Patrol","Navara (D22), Almera (N16), X-Trail (T30), Terrano II (R20), Tino (V10), Patrol (Y61)","Production dates: (D22) 06/01/2004 to 02/03/2012, (N16) 04/01/2004 to 24/11/2006, (T30) 10/01/2004 to 28/11/2012, (R20) 12/01/2004 to 28/11/2006, (V10) 07/01/2004 to 21/11/2005, (Y61) 06/01/2004 .....",,,Injuries,"null In the event of deployment of the passenger airbag, the inflator body of the airbag could shatter and release metal fragments into the vehicle cabin causing injuries to the occupants.",,,Type of economic operator taking notified measure(s): DistributorCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Portugal,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/283720,
A12/1417/17,,,Motor vehicles,Passenger car,Dodge,Grand Caravan,,The vehicles concerned were produced between 23 August 2010 and 25 July 2012.,,,Injuries,"null Incorrectly installed steering-wheel wiring may chafe and cause a short-circuit. As a consequence, the driver's airbag may be accidentally activated and may injure the occupants and/or cause an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,United States,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/282055,
A12/1416/17,,,Motor vehicles,Passenger car,Chrysler,Aspen,,The vehicles affected were produced between March 2008 and February 2010.,,,Injuries,"null In the event of deployment of the driver's airbag, a defect in the gas generator may cause uncontrolled inflation of the airbag, resulting in small metal fragments being released and injuring the occupants.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 08/09/2017,,Passenger car,Germany,United States,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/282064,
